序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,显示面板分为,显示器，材料，设备，芯片，显示模组，封装，电竞屏幕,,,,,,,,,,ABCDEFGH,x41-显示面板
2,京东方A,显示器-LCD,北京,"大尺寸LCD面板市占率A股第1,",,,,,,,,ABCDEFGH,x41-显示面板
3,TCL科技,显示器-LCD,广东-惠州,"大尺寸LCD面板市占率A股第2,",,,,,,,,ABCDEFGH,x41-显示面板
4,彩虹股份,显示器-LCD,陕西-咸阳,"大尺寸LCD面板市占率A股第3,",,,,,,,,ABCDEFGH,x41-显示面板
5,龙腾光电-688,显示器-LCD,江苏-苏州,"大尺寸LCD面板市占率A股第4,",,,,,,,,ABCDEFGH,x41-显示面板
6,经纬辉开-300,显示器-LCD,天津,"大尺寸LCD面板市占率A股第5,",,,,,,,,ABCDEFGH,x41-显示面板
7,京东方A,显示器-OLED,北京,OLED市占率A股第1,,,,,,,,ABCDEFGH,x41-显示面板
8,和辉光电-688,显示器-OLED,上海,OLED市占率A股第2,,,,,,,,ABCDEFGH,x41-显示面板
9,维信诺,显示器-OLED,江苏-苏州,OLED市占率A股第3,,,,,,,,ABCDEFGH,x41-显示面板
10,深天马A,显示器-OLED,,OLED市占率A股第4,,,,,,,,ABCDEFGH,x41-显示面板
11,京东方A,显示器-Mini LED,北京,,,,,,,,,ABCDEFGH,x41-显示面板
12,兆驰股份,显示器-Mini LED,深圳,,,,,,,,,ABCDEFGH,x41-显示面板
13,沃格光电,显示器-Mini LED,江西-新余,,,,,,,,,ABCDEFGH,x41-显示面板
14,康冠科技,显示器-Mini LED,深圳,,,,,,,,,ABCDEFGH,x41-显示面板
15,聚灿光电-300,显示器-Mini LED,苏州,,,,,,,,,ABCDEFGH,x41-显示面板
16,深天马A,显示器-Mini LED,,,,,,,,,,ABCDEFGH,x41-显示面板
17,隆利科技-300,显示器-Mini LED,深圳,,,,,,,,,ABCDEFGH,x41-显示面板
